Name,Area
Sagehen Creek,84
Chickering American River,142
Angelo Coast Range,136
McLaughlin,147
Quail Ridge & Stebbins Cold Canyon,80
Jepson Prairie,132
Blue Oak Ranch,42
Merced Vernal Pools & Grassland,272
Younger Lagoon & UCSC,136
Fort Ord,94
Hastings,147
Landels-Hill Big Creek,139
Sedgwick,138
Santa Cruz Island,518
Sacramento Mountains (Sweeney),167
Scripps & UCSD,46
Elliott Chaparral,7
MIssion Bay San Diego,55
Dawson Los Monos Canyon,20
Emerson Oaks,12
San Joaquin Freshwater Marsh,126
Mottle Rimrock,63
Box Springs,26
Oasis de Los Osis (James),35
Stunt Ranch Santa Monica,23
Sweeney (main),102
Old Woman Mountains (Sweeney),52
LosOsos / San Jacinto,483
Burns Pinon,98
Jenny Pygmy Forest,158
UCSB,115
Carpinteria,54
Valentine Camp (VESR),68
SNARL (VESR),18
Boyd Deep Canyon,328
Norris Rancho Marino,86
Bodega Bay,236
